(coach_id, coach_name, coach_wins, active)

1,Lionel Scaloni,null,1
2,Graham Arnold,null,1
3,Roberto Martínez,null,1
4,Tite,null,1
5,Rigobert Song,null,1
6,John Herdman,null,1
7,Luis Fernando Suárez,null,1
8,Zlatko Dalic,null,1
9,Kasper Hjulmand,null,1
10,Gustavo Alfaro,null,1
11,Gareth Southgate,null,1
12,Didier Deschamps,null,1
13,Hansi Flick,null,1
14,Otto Addo,null,1
15,Carlos Queiroz,null,1
16,Hajime Moriyasu,null,1
17,Paulo Bento,null,1
18,Gerardo Martino,null,1
19,Walid Regragui,null,1
20,Louis van Gaal,null,1
21,Czeslaw Michniewicz,null,1
22,Fernando Santos,null,1
23,Félix Sánchez,null,1
24,Hervé Renard,null,1
25,Aliou Cissé,null,1
26,Dragan Stojkovic,null,1
27,Luis Enrique,null,1
28,Murat Yakin,null,1
29,Jalel Kadri,null,1
30,Gregg Berhalter,null,1
31,Diego Alonso,null,1
32,Rob Page,null,1
